Henry Fielding,The History of Tom Jones,yes
Laurence Sterne,A Sentimental Journey,no
Jane Austen,Pride and Prejudice,yes
Walter Scott,Guy Mannering,no
William Makepeace Thackeray,Vanity Fair,yes
Charles Dickens,David Copperfield,yes
George Eliot,The Mill on the Floss,yes
Nathaniel Hawthorne,The Scarlet Letter,yes
Nathaniel Hawthorne,Rappaccini's Daughter,no
Washington Irving,Rip Van Winkle,yes
Washington Irving,The Legend of Sleepy Hollow,yes
Edgar Allan Poe,Eleonora,yes
Edgar Allan Poe,The Fall of the House of Usher,yes
Edgar Allan Poe,The Purloined Letter,yes
Francis Bret Harte,The Luck of Roaring Camp,no
Francis Bret Harte,The Outcasts of Poker Flat,no
Francis Bret Harte,The Idyl of Red Gulch,no
Mark Twain,Jim Smiley and His Jumping Frog,no
Edward Everett Hale,The Man Without a Country,no
Henry James,The Portrait of a Lady,yes
Victor Hugo,Notre Dame de Paris,yes
Honoré Balzac,Old Goriot,yes
George Sand,The Devil's Pool,yes
Alfred de Musset,The Story of a White Blackbird,no
Alphonse Daudet,The Siege of Berlin,no
Alphonse Daudet,The Last Class,no
Alphonse Daudet,The Child Spy,no
Alphonse Daudet,The Game of Billiards,no
Alphonse Daudet,The Bad Zouave,no
Guy de Maupassant,Walter Schnaffs' Adventure,yes
Guy de Maupassant,Two Friends,yes
Johann Wolfgang Goethe,Wilhelm Meister's Apprenticeship,no
Johann Wolfgang Goethe,The Sorrows of Young Werther,yes
Gottfried Keller,The Banner of the Upright Seven,no
Theodor Storm,The Rider on the White Horse,no
Theodor Fontane,Trials and Tribulations,no
Leo Tolstoy,Anna Karenina,yes
Fyodor Dostoevsky,Crime and Punishment,yes
Ivan Turgenev,Fathers and Children,yes
Ivan Turgenev,A House of Gentlefolk,no
Juan Valera,Pepita Jimenez,no
Bjornstjerne Bjornson,A Happy Boy,no
Alexander L. Kielland,Skipper Worse,no
